basepolity,period_start,latitude,longitude,polity_territory,temperature,polity_population,cc_infra,kinship1
RuYakuE,1700,63.533905,129.83487,1673,-11.222227,5033,0,-.64803034
RuYakuL,1700,63.533905,129.83487,11153,-11.222227,38881,.11111111,-.64803034
RusEarlyRussian,1700,63.533905,129.83487,38004,-11.222227,101860,.33333334,-.30208278
RusPreRussian,1700,63.533905,129.83487,1681,-11.222227,5789,0,-.08538837
RuYakuL,1800,63.533905,129.83487,31351,-11.146388,66102,.11111111,-.64803034
RusEarlyRussian,1800,63.533905,129.83487,43402,-11.146388,150528,.33333334,-.30585587
RuYakuE,1600,63.533905,129.83487,1776,-11.070848,7100,0,-.64803034
RusPreRussian,1600,63.533905,129.83487,1779,-11.070848,7258,0,-.089594103
RuYakuL,1900,63.533905,129.83487,61489,-10.988152,54321,.11111111,-.64803034
RusEarlyRussian,1900,63.533905,129.83487,78546,-10.988152,124226,.33333334,-.26641557
RuYakuE,1500,63.533905,129.83487,1707,-10.98729,7251,0,-.64803034
RusPreRussian,1500,63.533905,129.83487,1709,-10.98729,7412,0,-.089400545
RuYakut,1300,63.533905,129.83487,6174,-10.915077,15311,.088888891,-.43261448
RuYakuE,1400,63.533905,129.83487,1891,-10.803779,5286,0,-.64803034
RuYakut,1400,63.533905,129.83487,7158,-10.803779,14699,.088888891,-.43412384
RusPreRussian,1400,63.533905,129.83487,1901,-10.803779,5601,0,-.086727083
NorKing,1300,64.827614,-18.367887,103000,-1.0953684,50000,.022222223,-.24364473
IcelandCommonwealth,1300,64.827614,-18.367887,103000,-1.0953684,31000,0,-.16955873
NorwayKingdom,1300,64.827614,-18.367887,103000,-1.0953684,50000,0,.011325007
IsCommw,1300,64.827614,-18.367887,103000,-1.0953684,31000,0,.6364994
IcelandCommonwealth,1000,64.827614,-18.367887,103000,-.35953441,10000,0,.08695136
IsCommw,1000,64.827614,-18.367887,103000,-.35953441,10000,0,.34048316
IcelandCommonwealth,1200,64.827614,-18.367887,103000,-.16737136,31000,0,-.16955873
IsCommw,1200,64.827614,-18.367887,103000,-.16737136,31000,0,.6364994
IcelandCommonwealth,1100,64.827614,-18.367887,103000,-.12125336,31000,0,-.16955873
IsCommw,1100,64.827614,-18.367887,103000,-.12125336,31000,0,.6364994
NorKing,1400,64.827614,-18.367887,103000,-.10646372,50000,.022222223,-.24364473
NorwayKingdom,1400,64.827614,-18.367887,103000,-.10646372,50000,0,.011325007
MnXngnE,-1300,48.292339,105.10885,350000,.86494541,25000,.055555556,-.06859339
MnXngnE,-1200,48.292339,105.10885,350000,.87951106,25000,.055555556,-.067932613
MnXngnM,-100,48.292339,105.10885,4000000,.90557265,1500000,.055555556,-.029365603
MnXngnE,-500,48.292339,105.10885,350000,.91226017,25000,.055555556,-.056095961
MnXngnE,-300,48.292339,105.10885,700000,.966941,50000,.055555556,-.10584184
MnXngnE,-1400,48.292339,105.10885,350000,1.0019011,25000,.055555556,-.069268823
MnXngnE,-700,48.292339,105.10885,350000,1.008075,25000,.055555556,-.062202051
MnXngnM,0,48.292339,105.10885,4000000,1.0349745,1500000,.055555556,-.029365603
MnXngnL,0,48.292339,105.10885,3000000,1.0349745,1000000,.055555556,-.02251395
MnXngnE,-800,48.292339,105.10885,350000,1.0546488,25000,.055555556,-.060375389
CnTangE,700,34.726803,113.45479,5067000,1.0558966,37000000,.89999998,-.15563031
MnETurk,700,48.292339,105.10885,4500000,1.0558966,400000,.16666667,-.15563031
MnTurk2,700,48.292339,105.10885,3000000,1.0558966,400000,.25555557,-.15563031
MnShiwe,700,48.292339,105.10885,10589,1.0558966,138865,.79423678,-.076680884
MnXngnE,-600,48.292339,105.10885,350000,1.0632384,25000,.055555556,-.060967498
MnETurk,600,48.292339,105.10885,4500000,1.0641942,400000,.16666667,-.15563031
MnRourn,600,48.292339,105.10885,4000000,1.0641942,500000,.14444445,-.15563031
MnShiwe,600,48.292339,105.10885,9890,1.0641942,172757,.89876205,-.079439223
MnTurk1,600,48.292339,105.10885,6000000,1.0641942,700000,.15555556,-.030614978
MnXngnE,-900,48.292339,105.10885,350000,1.0856874,25000,.055555556,-.06163368
MnXngnM,-200,48.292339,105.10885,4000000,1.109242,1500000,.055555556,-.029365603
MnXngnE,-1100,48.292339,105.10885,350000,1.1100435,25000,.055555556,-.063312262
CnTangE,800,34.726803,113.45479,4100000,1.1366793,52800000,.89999998,-.15563031
MnTurk2,800,48.292339,105.10885,3000000,1.1366793,400000,.25555557,-.15563031
MnShiwe,800,48.292339,105.10885,8505,1.1366793,140864,.74534631,-.070914932
MnUigur,800,48.292339,105.10885,2000000,1.1366793,400000,.58888888,.6364994
MnXngnE,-400,48.292339,105.10885,700000,1.1449991,50000,.055555556,-.10436008
MnKhitn,1200,48.292339,105.10885,2000000,1.146894,3800000,.47777778,-.15563031
MnKhit2,1200,48.292339,105.10885,2000000,1.146894,3800000,.47777778,-.069626234
MnMongE,1200,48.292339,105.10885,70000,1.146894,80000,0,-.053678486
MnXianb,100,48.292339,105.10885,15000000,1.1557698,1000000,.055555556,-.23301041
MnXngnL,100,48.292339,105.10885,3000000,1.1557698,1000000,.055555556,-.02251395
MnKhitn,1000,48.292339,105.10885,2000000,1.158191,3800000,.47777778,-.15563031
MnKhit1,1000,48.292339,105.10885,1500000,1.158191,400000,.36666667,-.13278659
MnKhit2,1000,48.292339,105.10885,2000000,1.158191,3800000,.47777778,-.067518868
